,t,5297443_1_7_1,5297443_1_6_1,5297443_1_5_1,5297443_1_4_1,5297443_1_3_1,5297443_1_2_1,5297443_1_1_1,PTot
115,2024-01-30 09:35:00,8033.0,8223.0,8015.0,6935.0,8205.0,7843.0,6726.0,45947.0
116,2024-01-30 09:40:00,8529.0,8703.0,8487.0,7230.0,8579.0,8190.0,7098.0,48287.0
117,2024-01-30 09:45:00,8942.0,9112.0,8845.0,7636.0,8925.0,8592.0,7428.0,50538.0
118,2024-01-30 09:50:00,9603.0,9374.0,9224.0,8296.0,9334.0,9006.0,7724.0,52958.0
119,2024-01-30 09:55:00,10213.0,9804.0,9587.0,9235.0,9755.0,9568.0,8114.0,56063.0
120,2024-01-30 10:00:00,10863.0,10382.0,9930.0,10024.0,10124.0,10140.0,8654.0,59254.0
121,2024-01-30 10:05:00,11527.0,11076.0,10327.0,11100.0,10571.0,10901.0,9626.0,63601.0
122,2024-01-30 10:10:00,12257.0,11688.0,10958.0,11857.0,10887.0,11527.0,10327.0,67244.0
123,2024-01-30 10:15:00,12572.0,12444.0,11739.0,12818.0,11316.0,12513.0,11339.0,72169.0
124,2024-01-30 10:20:00,13181.0,13050.0,12232.0,13661.0,11789.0,13226.0,12288.0,76246.0
125,2024-01-30 10:25:00,13571.0,13613.0,12727.0,14229.0,12603.0,13789.0,13053.0,80014.0
126,2024-01-30 10:30:00,13974.0,14178.0,13133.0,14586.0,13888.0,14362.0,13860.0,84007.0
127,2024-01-30 10:35:00,14255.0,14626.0,13396.0,14916.0,14536.0,14777.0,14364.0,86615.0
128,2024-01-30 10:40:00,14671.0,14970.0,13777.0,15366.0,14865.0,15085.0,14749.0,88812.0
129,2024-01-30 10:45:00,15042.0,15356.0,14120.0,15715.0,15227.0,15523.0,15137.0,91078.0
130,2024-01-30 10:50:00,15679.0,15654.0,14378.0,16035.0,15535.0,15815.0,15461.0,92878.0
131,2024-01-30 10:55:00,16069.0,15980.0,14782.0,16394.0,15871.0,16218.0,15792.0,95037.0
132,2024-01-30 11:00:00,16360.0,16346.0,15105.0,16769.0,16238.0,16515.0,16104.0,97077.0
133,2024-01-30 11:05:00,16762.0,16675.0,15428.0,17036.0,16550.0,16873.0,16476.0,99038.0
134,2024-01-30 11:10:00,15136.0,15128.0,14044.0,15480.0,15027.0,15274.0,14894.0,89847.0
135,2024-01-30 11:15:00,17264.0,17129.0,15898.0,17567.0,17084.0,17366.0,16911.0,101955.0
